trajectory_id,x,y
0,11.24,2.52
0,10.27,2.67
0,9.63,3.1
0,8.73,3.39
0,8.22,3.8
0,7.57,4.2
0,7.37,4.24
0,7.28,4.26
0,7.21,4.26
0,7.17,4.27
0,7.16,4.28
0,7.14,4.29
0,7.13,4.3
0,7.12,4.31
0,7.12,4.31
0,7.11,4.32
0,7.1,4.33
0,7.1,4.33
0,7.09,4.33
0,7.08,4.34
0,7.3,4.22
0,7.55,4.16
0,7.93,3.99
0,8.42,3.59
0,8.69,3.3
0,8.7,3.3
0,8.71,3.3
0,8.73,3.3
0,8.77,3.29
0,8.82,3.29
0,8.91,3.28
0,9.07,3.26
0,9.32,3.19
0,9.7,3.02
0,10.2,2.61
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,9.69,3.07
0,8.8,3.38
0,8.26,3.76
0,7.61,4.19
0,7.36,4.25
0,7.21,4.27
0,7.14,4.29
0,7.12,4.31
0,7.11,4.32
0,7.09,4.33
0,7.08,4.34
0,7.07,4.35
0,7.07,4.35
0,7.06,4.36
0,7.06,4.37
0,7.05,4.38
0,7.04,4.41
0,7.03,4.43
0,7.02,4.44
0,7.02,4.45
0,7.27,4.23
0,7.5,4.17
0,7.86,4.03
0,8.35,3.67
0,8.69,3.3
0,8.7,3.3
0,8.71,3.3
0,8.73,3.3
0,8.76,3.29
0,8.81,3.29
0,8.9,3.29
0,9.04,3.27
0,9.27,3.21
0,9.63,3.06
0,10.12,2.69
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.29,2.57
0,10.23,3.5
0,9.83,4.01
0,9.47,4.82
0,9.41,5.81
0,9.36,6.34
0,9.42,6.75
0,9.43,6.99
